id|title|product|daysActive|hasTour|pdpUrl|tenureType|highlights|agencies|area|propertyTypes|carSpaces|state|streetAddress|postcode|suburb|suburbAddress|price|searchCategory
504132567|The Remastered Modern Workplace|eliteplus|175|False|/for-lease/property-ground-floor-and-level-1-150-jolimont-road-east-melbourne-vic-3002-504132567|vacant|Brand new end of trip@@@Abundance of off street parking@@@Refurbished office building|JLL - Melbourne Metropolitan @@@Teska Carson Pty Ltd - Richmond|282 - 334 m²|Offices|45|VIC|Ground Floor and Level 1, 150 Jolimont Road|3002|East Melbourne|East Melbourne, VIC 3002|Please contact one of our agents|for-lease
504217688|Bowden's Finest Mixed-Use Office/Hospitality Development |eliteplus|57|False|/for-lease/property-lot-6003-second-street-bowden-sa-5007-504217688|any||City Realty - Adelaide|926 m²|Land/Development@@@Offices@@@Retail||SA|Lot 6003 Second Street|5007|Bowden|Bowden, SA 5007|Contact Agent for Pricing Information|for-lease
504197011|Leasing opportunity in the heart of Murrumbateman|eliteplus|85|False|/for-lease/property-village-shops-6-hercules-street-murrumbateman-nsw-2582-504197011|any|Murrumbateman retail street@@@Completion Q3 2023@@@85sqm shop|Sentia Real Estate - GRIFFITH|85 m²|Retail@@@Offices@@@Medical/Consulting||NSW|Village Shops, 6 Hercules Street|2582|Murrumbateman|Murrumbateman, NSW 2582|$39,950 (ex GST) pa|for-lease
504208696|"ULTRA RARE OPPORTUNITY TO BUY OR LEASE


"|eliteplus|69|False|/for-sale/property-southport-qld-4215-504208696?listingType=rent|vacant|Option to BUY or LEASE@@@Only opportunity to buy in precinct@@@280 Onsite Car Parking Spaces|Niecon - BROADBEACH|80 m²|Medical/Consulting@@@Offices|280|QLD|Address available on request|4215|Southport|Southport, QLD 4215|$38,000 P.A.  $525 - $550 per m² P.A. excluding GST|for-lease
503859886|MEET YOU AT THE BASE|eliteplus|580|False|/for-lease/property-the-base-650-hume-highway-craigieburn-vic-3064-503859886|any|EXPOSURE TO HUME HIGHWAY AND FREEWAY@@@MASSIVELY EXPANDING CATCHMENT@@@POSITION NEXT DOOR TO BUNNINGS|Leedwell Property Victoria - Melbourne|850 - 6000 m²|Retail@@@Showrooms/Bulky Goods@@@Medical/Consulting||VIC|The Base, 650 Hume Highway|3064|Craigieburn|Craigieburn, VIC 3064|Contact Agent|for-lease
503733318|Two Brand New Fitted Tenancies (290m2 & 510m2) with Stunning Views to The Shrine|eliteplus|747|False|/for-lease/property-the-gateway-5-312-st-kilda-rd-melbourne-vic-3004-503733318|any||Cushman & Wakefield - Melbourne@@@Thorburn Commercial Property - Melbourne|290 - 510 m²|Offices||VIC|The Gateway, 5/312 St Kilda Rd|3004|Melbourne|Melbourne, VIC 3004|Contact Agent|for-lease
504229368|Central Location Warehouse / Office in a Boutique Industrial Complex|eliteplus|37|False|/for-lease/property-1-5-13-parsons-street-rozelle-nsw-2039-504229368|any|Dual-entrance, warehouse, and office@@@Roller door access 6.1M@@@3 Off Street Car Spaces|Ray White Commercial - Sydney City Fringe|198 m²|Industrial/Warehouse@@@Showrooms/Bulky Goods@@@Offices|3|NSW|1/5-13 Parsons Street|2039|Rozelle|Rozelle, NSW 2039|For Lease Contact Agent|for-lease
503979558|The NEW Pinnacle in A-Grade Commercial Space|eliteplus|381|False|/for-lease/property-50-first-avenue-maroochydore-qld-4558-503979558|vacant|Large Expansive 1,000m2 + Floor plates@@@Premium A-Grade design & 5 Star NABERS*@@@Superior EOT Facilities & Amenity|Colliers - Sunshine Coast@@@CBRE - Brisbane@@@CBRE - Sunshine Coast|100 - 4000 m²|Offices@@@Retail||QLD|50 First Avenue|4558|Maroochydore|Maroochydore, QLD 4558|Contact Agent|for-lease
504221712|Boutique - Central Fremantle Premises|eliteplus|51|False|/for-lease/property-52-adelaide-street-fremantle-wa-6160-504221712|vacant|Brand New Central Fremantle Development@@@Multiple Uses, STCA|Norfolk Commercial - SUBIACO|54 m²|Retail@@@Offices@@@Medical/Consulting||WA|52 Adelaide Street|6160|Fremantle|Fremantle, WA 6160|Contact Agent|for-lease
504056027|300 Macquarie Street, Liverpool; gateway site at the heart of Liverpool CBD|eliteplus|282|False|/for-lease/property-300-macquarie-street-liverpool-nsw-2170-504056027|vacant|Gateway location adjacent to Civic Place@@@Full fit-out; plug and play opportunity@@@Excellent parking and amenity on site|Resonate Partners - Sydney @@@Elders Commercial - Liverpool|124 - 1500 m²|Offices|72|NSW|300 Macquarie Street|2170|Liverpool|Liverpool, NSW 2170|Contact Agent|for-lease
503866046|ABBOTSFORD Office Suites  68m2 from $578k+ GST|eliteplus|571|False|/for-sale/property-the-office-project-19-thompson-st-abbotsford-vic-3067-503866046|vacant|Walking distance to public transport@@@Upscale to Coworking, Onsite Retail@@@Activated rooftops! Ample parking! Views|Eisen Property@@@Banco Group|68 - 900 m²|Offices|144|VIC|The Office Project, 19 Thompson St|3067|Abbotsford|Abbotsford, VIC 3067|Contact Agent|for-sale
504208696|"ULTRA RARE OPPORTUNITY TO BUY OR LEASE


"|eliteplus|69|False|/for-sale/property-southport-qld-4215-504208696|vacant|Option to BUY or LEASE@@@Only opportunity to buy in precinct@@@280 Onsite Car Parking Spaces|Niecon - BROADBEACH|80 m²|Medical/Consulting@@@Offices|280|QLD|Address available on request|4215|Southport|Southport, QLD 4215|$740,000 excluding GST|for-sale
504199704|Level 10 Office Floor in Adelaide’s Largest Square|eliteplus|82|False|/for-sale/property-level-10-185-victoria-square-adelaide-sa-5000-504199704|tenanted|https://youtu.be/I4yjmxynyrM|Mastracorp Real Estate - Adelaide|490 m²|Offices@@@Retail@@@Other|1|SA|Level 10, 185 Victoria Square|5000|Adelaide|Adelaide, SA 5000|SOLD AT AUCTION|for-sale
504241556|WINDSOR FREEHOLD LEASED TO CHAPEL ST F&B INSTITUTION|eliteplus|2|False|/for-sale/property-135-chapel-street-windsor-vic-3181-504241556|tenanted|ABSOLUTE PRIME TRADING POSITION@@@LEASED TO PATEE THAI TRADING SINCE 1983@@@FIRST TIME OFFERED IN MORE THAN 40 YEARS|Emmetts - Melbourne|312 m²|Retail@@@Hotel/Leisure||VIC|135 CHAPEL STREET|3181|Windsor|Windsor, VIC 3181|Contact Agent|for-sale
504202816|Childcare Investment In Coastal Hotspot|eliteplus|79|False|/for-sale/property-25-forest-parkway-lake-cathie-nsw-2445-504202816|tenanted|Huge residential development precinct@@@Brand New 10 Yr Lease to 2032 + Options@@@Net Income $240,000 pa* + GST|Burgess Rawson - Sydney|1575 m²|Medical/Consulting@@@Offices@@@Retail||NSW|25 Forest Parkway|2445|Lake Cathie|Lake Cathie, NSW 2445|Contact Agent|for-sale
504212988|CANVAS - Only One Warehouse Remaining!|eliteplus|65|False|/for-sale/property-canvas-anglesea-4-15-inverlochy-street-anglesea-vic-3230-504212988|any||Hayden Real Estate - Anglesea@@@Baywest Real Estate -            |91 - 181 m²|Industrial/Warehouse||VIC|Canvas - Anglesea, 4/15 Inverlochy Street|3230|Anglesea|Anglesea, VIC 3230|Priced from $899,990|for-sale
504233852|Incredible redevelopment opportunity in Charlestown|eliteplus|16|False|/for-sale/property-198-208-pacific-highway-charlestown-nsw-2290-504233852|any|Three street frontages@@@Directly opposite Charlestown Square@@@Total site area 1,770sqm|Commercial Collective - NEWCASTLE@@@MOVABLE|1770 m²|Land/Development@@@Offices@@@Retail||NSW|198-208 Pacific Highway|2290|Charlestown|Charlestown, NSW 2290|Contact Agent|for-sale
504233848|Tenanted Investment in Prominent Hyde Park Location|eliteplus|17|False|/for-sale/property-lot-906-248-unley-road-hyde-park-sa-5061-504233848|tenanted|Tenanted Investment Opportunity@@@Brand New Building@@@High Exposure Location|Prorealty - KENT TOWN|274 m²|Retail||SA|Lot 906, 248 Unley Road|5061|Hyde Park|Hyde Park, SA 5061|Contact Agent|for-sale
504081299|Industrial Land - Badgerys Creek - 22,260 sqms / 5.5 acres - Near Airport and Motorway|eliteplus|59|False|/for-sale/property-60-martin-road-badgerys-creek-nsw-2555-504081299|any|"Zoned: ""Enterprise"" (Industrial)@@@Near M12 Motorway & Airport@@@Stage 1 Development Precinct"|Badgerys Creek Property - KEMPS CREEK|2.23 ha (5.5 acres)|Land/Development@@@Industrial/Warehouse@@@Showrooms/Bulky Goods||NSW|60 Martin Road|2555|Badgerys Creek|Badgerys Creek, NSW 2555|Contact Agent|for-sale
504075795|"Industrial / Commercial Land Near Western Sydney Airport - 40,468 sqms / 10 Acres - Zoned ""Enterprise"""|eliteplus|59|False|/for-sale/property-135-mersey-road-bringelly-nsw-2556-504075795|any|"Zoned ""Enterprise"" Industrial/Commercial@@@Land Area: 40,468sqms (10 acres)@@@Near Airport and Arterial Roads - M12"|Badgerys Creek Property - KEMPS CREEK|4.05 ha (10 acres)|Industrial/Warehouse@@@Land/Development@@@Showrooms/Bulky Goods||NSW|135 Mersey Road|2556|Bringelly|Bringelly, NSW 2556|Contact Agent|for-sale
504240752|DOES IT REALLY GET ANY BETTER THAN THIS?|eliteplus|2|True|/for-lease/property-144-bridge-road-richmond-vic-3121-504240752|any||TCI Property Consultants - Richmond|120 m²|Retail|1|VIC|144 Bridge Road|3121|Richmond|Richmond, VIC 3121|Let's talk... $49,000 per annum + outgoings + GST|for-lease
504240748|AFFORDABLE JUST BECAME ‘CHEAP’! |eliteplus|2|True|/for-lease/property-105a-33-inkerman-street-st-kilda-vic-3182-504240748|any||TCI Property Consultants - Richmond|73 m²|Retail@@@Offices||VIC|105A/33 Inkerman Street|3182|St Kilda|St Kilda, VIC 3182|Let's talk... $29,000 per annum + outgoings + GST|for-lease
504221672|PRIME LOCATION|eliteplus|51|False|/for-lease/property-shop-3-27-29-corbould-street-mount-isa-qld-4825-504221672|any||Jays Real Estate - Mount Isa||Other||QLD|Shop 3, 27-29 Corbould Street|4825|Mount Isa|Mount Isa, QLD 4825|Contact Agent|for-lease
504038127|EXCITING 18,000SQM EXPANSION OF THRIVING CENTRE|eliteplus|310|False|/for-lease/property-melton-homemaker-centre-cnr-high-street-melton-highway-melton-vic-3337-504038127|any|Join Harvey Norman, Bunnings + more@@@High volume of customer visitation@@@A retail mecca, totaling 30,000sqm|Leedwell Property Victoria - Melbourne|300 - 3000 m²|Showrooms/Bulky Goods@@@Retail||VIC|Melton Homemaker Centre, Cnr High Street & Melton Highway|3337|Melton|Melton, VIC 3337|Contact Agent|for-lease
504221660|Industrial Premises with Power and Optional Crane|eliteplus|51|False|/for-lease/property-83-inspiration-drive-wangara-wa-6065-504221660|any|2x roller shutters@@@Upgraded power@@@Optional 10t gantry crane|Iconic Commercial Property - WEST LEEDERVILLE|1126 m²|Industrial/Warehouse||WA|83 Inspiration Drive|6065|Wangara|Wangara, WA 6065|$135,120 P.A. excluding GST|for-lease
504226320|Brand New Office/Warehouse With Exposure|eliteplus|42|False|/for-lease/property-599-marshall-road-malaga-wa-6090-504226320|any|2,500 sqm* Warehouse@@@350 sqm* Premium Office & Amenities@@@12m* High Clearance Warehousing|Colliers International - Perth|2000 - 5000 m²|Industrial/Warehouse||WA|599 Marshall Road|6090|Malaga|Malaga, WA 6090|From $125psm net pa|for-lease
504241448|Prime 187sqm Ground Floor Shop/Showroom/Office/Consulting. 10 Car Spaces.|eliteplus|3|False|/for-lease/property-1-386-logan-road-stones-corner-qld-4120-504241448|any|10 Cars On-Site@@@Partial Internal Fit Out@@@Prime Stones Corner Position|LJ Hooker Commercial - Brisbane|187 m²|Retail@@@Medical/Consulting@@@Offices|10|QLD|1/386 Logan Road|4120|Stones Corner|Stones Corner, QLD 4120|Contact Agent|for-lease
504208032|Outstanding Office with Amazing Amenity & Wellness Benefits|eliteplus|73|False|/for-lease/property-link-langley-123-adelaide-terrace-east-perth-wa-6004-504208032|any|Areas from 559sq m to over 3,000sq m@@@Secure Covered Parking @@@Coming Childminding Centre, Gym & IGA|Ventana Property Group@@@Colliers International - Perth|3000 m²|Offices@@@Medical/Consulting@@@Retail||WA|LInk@Langley, 123 Adelaide Terrace|6004|East Perth|East Perth, WA 6004|Contact Agent|for-lease
504200328|Very Unique Opportunity! Freestanding Medical/Health Centre Site! Prominent Corner!|eliteplus|80|False|/for-sale/property-benowa-qld-4217-504200328?listingType=rent|any|Very Close to Pindara Private Hospital@@@Freestanding, self-sufficient Complex@@@High profile corner|RI|307 m²|Medical/Consulting@@@Offices@@@Other||QLD|Address available on request|4217|Benowa|Benowa, QLD 4217|Contact Agent|for-lease
504233832|Charming Gem on Queen Street|eliteplus|17|False|/for-lease/property-level-1-26-queen-street-perth-wa-6000-504233832|any|Central CBD Location@@@Charming Character@@@Plug and Play|Ray White Commercial WA - PERTH|189 m²|Offices||WA|Level 1, 26 Queen Street|6000|Perth|Perth, WA 6000|Contact Agent|for-lease
504229344|Premium Medical Opportunity|eliteplus|38|False|/for-sale/property-5-43-minchinton-street-caloundra-qld-4551-504229344|vacant|Current fit out in place@@@Central Caloundra location@@@Secure carparks|Town - Sunshine Coast|102 m²|Medical/Consulting@@@Offices@@@Retail|2|QLD|5/43 Minchinton Street|4551|Caloundra|Caloundra, QLD 4551|FOR SALE|for-sale
503662842|UNDER CONSTRUCTION – CONTEMPORARY OFFICE WAREHOUSES, HYBRID SPACES & OFFICES|eliteplus|854|False|/for-sale/property-belrose-9-ambrose-avenue-cheltenham-vic-3192-503662842|any|90 per cent sold out off the plan@@@Scheduled for completion Q1 2023@@@Located in Bayside Business District|Knight Frank - Eastern Office@@@Nichols Crowder - MOORABBIN|46 - 187 m²|Industrial/Warehouse@@@Offices@@@Showrooms/Bulky Goods||VIC|Belrose, 9  Ambrose Avenue|3192|Cheltenham|Cheltenham, VIC 3192|Contact Agent|for-sale
504196907|Melbourne Metro Childcare Investment - 15 Year Triple Net Lease|eliteplus|87|False|/for-sale/property-g8-education-epping-6-viewbank-court-epping-vic-3076-504196907|tenanted|Secure 15 Year Net Lease + Options@@@ASX Listed Operator Across 440+ Centres@@@Strong Growth Corridor|Stonebridge Property Group - Melbourne|822 m²|Medical/Consulting@@@Retail@@@Showrooms/Bulky Goods|23|VIC|G8 Education Epping 6 Viewbank Court|3076|Epping|Epping, VIC 3076|Contact Agent|for-sale
504196887|UNDER OFFER|eliteplus|87|False|/for-sale/property-762-766-blackburn-road-30-henderson-road-clayton-vic-3168-504196887|any|Combined 6.44 hectare landholding@@@Secure income from Telstra @@@Monash Technology Precinct|JLL - Melbourne|6.44 ha (15.92 acres)|Land/Development@@@Offices@@@Industrial/Warehouse||VIC|762-766 Blackburn Road & 30 Henderson Road|3168|Clayton|Clayton, VIC 3168|Contact the JLL Melbourne Agents|for-sale
504196883|Metro Brisbane Childcare Investment - Secure 25 Year Net Lease|eliteplus|87|False|/for-sale/property-guppy-s-elc-thornlands-39-osprey-drive-thornlands-qld-4164-504196883|tenanted|Secure 25 Year Net Lease@@@Metro Brisbane Childcare Near School@@@Favourable CPI Rental Increases|Stonebridge Property Group - Brisbane|465 m²|Medical/Consulting@@@Retail@@@Showrooms/Bulky Goods|16|QLD|Guppy's ELC Thornlands 39 Osprey Drive|4164|Thornlands|Thornlands, QLD 4164|Contact Agent|for-sale
504200328|Very Unique Opportunity! Freestanding Medical/Health Centre Site! Prominent Corner!|eliteplus|80|False|/for-sale/property-benowa-qld-4217-504200328|any|Very Close to Pindara Private Hospital@@@Freestanding, self-sufficient Complex@@@High profile corner|RI|307 m²|Medical/Consulting@@@Offices@@@Other||QLD|Address available on request|4217|Benowa|Benowa, QLD 4217|Contact Agent|for-sale
504208028|MEDICAL LEASED INVESTMENT IN PENINSULA SPECIALIST CENTRE KIPPA-RING|eliteplus|73|False|/for-sale/property-10-93-george-street-kippa-ring-qld-4021-504208028|tenanted||Raine & Horne Commercial - Brisbane North|76 m²|Medical/Consulting@@@Offices||QLD|10/93 George Street|4021|Kippa-Ring|Kippa-Ring, QLD 4021|Auction In-Rooms 14 December 2022|for-sale
504196875|PRIME LAND WITH MASSIVE SHED|eliteplus|87|False|/for-sale/property-1890-wanneroo-road-neerabup-wa-6031-504196875|vacant||Ray White Commercial WA - PERTH|4.05 ha (10 acres)|Land/Development@@@Commercial Farming||WA|1890 Wanneroo Road|6031|Neerabup|Neerabup, WA 6031|$1,800,000|for-sale
504152059|FOUND HUNTINGDALE - Industrial Done Differently.|eliteplus|150|False|/for-sale/property-31-franklyn-street-huntingdale-vic-3166-504152059|vacant|Direct Access to Princes Highway@@@Construction to commence Q1 2023@@@Remaining areas  111m2* - 266m2*|Hudson Bond Commercial@@@Ray White Commercial - Oakleigh|111 - 266 m²|Industrial/Warehouse@@@Showrooms/Bulky Goods@@@Offices||VIC|31 Franklyn Street|3166|Huntingdale|Huntingdale, VIC 3166|Contact Agent|for-sale
504195795|Last Remaining Block within Tightly Held M1 Corridor Estate|eliteplus|88|False|/for-sale/property-14-eastridge-street-stapylton-qld-4207-504195795|vacant|6,224sqm* Medium Impact Industry site@@@B Double Access & 24/7 operation@@@Last remaining block|JLL - Brisbane|0.62 ha (1.54 acres)|Land/Development@@@Industrial/Warehouse||QLD|14 Eastridge Street|4207|Stapylton|Stapylton, QLD 4207|Please Contact JLL|for-sale
503764774|Enviable location with enhanced ground plane|eliteplus|707|True|/for-lease/property-80-collins-street-north-tower-80-collins-street-melbourne-vic-3000-503764774|any|Onsite retail offering@@@Upgraded entrance and lobby@@@Column free floors with natural light|Dexus@@@CBRE - Melbourne|50 - 10000 m²|Offices||VIC|80 Collins Street (North Tower), 80 Collins Street|3000|Melbourne|Melbourne, VIC 3000|Contact Agent|for-lease
503637058|Fitted Tenancies Available|eliteplus|657|False|/for-lease/property-267-st-georges-terrace-perth-wa-6000-503637058|vacant|Exceptional accessibility of the CBD@@@Various tenancy sizes available@@@Fitouts can be custom built to suit|Colliers International - Perth@@@Cushman & Wakefield - PERTH|80 - 850 m²|Offices||WA|267 St Georges Terrace|6000|Perth|Perth, WA 6000|Contact Agent|for-lease
501355127|FULLY REFURBISHED LOBBY|eliteplus|3014|True|/for-lease/property-251-st-georges-terrace-perth-wa-6000-501355127|vacant|BRAND NEW END OF TRIP FACILITIES@@@FITTED OUT PREMISES@@@EXCELLENT PARKING & SIGNAGE|Colliers International - Perth@@@Cushman & Wakefield - PERTH|178 - 3822 m²|Offices||WA|251 St Georges Terrace|6000|Perth|Perth, WA 6000|Contact Agent|for-lease
501795822|Unique Heritage Building in Perth's Cultural Heart|eliteplus|2611|True|/for-lease/property-heritage-on-murray-1-forrest-place-perth-wa-6000-501795822|any|Excellent Location & Amenity@@@Beautiful Heritage Building @@@Unique Fitouts Available |Colliers International - Perth@@@Cushman & Wakefield - PERTH|200 - 2718 m²|Offices||WA|Heritage on Murray, 1 Forrest Place|6000|Perth|Perth, WA 6000|Contact Agent|for-lease
500843567|Australia Place, 15-17 William Street|eliteplus|3462|True|/for-lease/property-15-17-william-street-perth-wa-6000-500843567|vacant|Full Floor Fitouts @@@Available immediately@@@Swan River Views|Colliers International - Perth@@@Cushman & Wakefield - PERTH|1229 - 4920 m²|Offices@@@Retail|82|WA|15-17 William Street|6000|Perth|Perth, WA 6000|Contact Agent|for-lease
504022955|Commercial Tower Retail Amenity|buildingprofile|276|False|http://www.realcommercial.com.au/building/sydney-metro-125#504022955|any|Dual Level Dining Restaurants@@@Flagship Retail Opportunities@@@Convenience Retail Shop Precincts|Colliers - Sydney|25 - 500 m²|Retail||NSW|Sydney Metro Martin Place, 39  Martin Place|2000|Sydney|Sydney, NSW 2000|Contact Agent|for-lease
504212944|PRIZED OFFICE-WAREHOUSE COMPLEX|eliteplus|66|False|/for-lease/property-11a-lampton-avenue-derwent-park-tas-7009-504212944|any|PREMIUM LOCATION@@@QUALITY COMPLEX@@@AMPLE PARKING|Raine and Horne Hobart - HOBART|827 m²|Industrial/Warehouse|20|TAS|11A Lampton Avenue|7009|Derwent Park|Derwent Park, TAS 7009|Contact Agent|for-lease
504196871|Prime Retail Opportunity in Busy Centre|eliteplus|87|False|/for-lease/property-armadale-central-shopping-centre-10-orchard-avenue-armadale-wa-6112-504196871|any|Fully Fitted out Restaurant Space@@@Abundance of Onsite Parking@@@Close to Great National Retailers|Silver Leaf Investments - Fremantle|44 m²|Retail|1100|WA|Armadale Central Shopping Centre, 10 Orchard Avenue|6112|Armadale|Armadale, WA 6112|Contact Agent|for-lease
504196867|Prime Retail Opportunity in Busy Centre|eliteplus|87|False|/for-lease/property-armadale-central-shopping-centre-10-orchard-avenue-armadale-wa-6112-504196867|vacant|Fully Fitted out Restaurant Space@@@Abundance of Onsite Parking@@@Close to Great National Retailers|Silver Leaf Investments - Fremantle|60 m²|Retail|1100|WA|Armadale Central Shopping Centre, 10 Orchard Avenue|6112|Armadale|Armadale, WA 6112|Contact Agent|for-lease
504185779|Modern Refurbished Units in Prime Condell Park Location|eliteplus|101|False|/for-lease/property-426-428-marion-street-condell-park-nsw-2200-504185779|any|Warehousing from 138m²* – 408m²*@@@Modern refurbishment commencing soon@@@Units available now|Colliers - Sydney South|224 - 521 m²|Industrial/Warehouse||NSW|426-428 Marion Street|2200|Condell Park|Condell Park, NSW 2200|Please contact agent|for-lease
504217564|GREEN TITLE SITE WITH THREE STREET FRONT UNITS|eliteplus|59|False|/for-sale/property-34-mumford-place-balcatta-wa-6021-504217564|vacant||Raine & Horne Commercial - Western Australia|1271 m²|Industrial/Warehouse@@@Offices||WA|34 Mumford Place|6021|Balcatta|Balcatta, WA 6021|Price: $3,875,000 plus GST (if applicable)|for-sale
504217556|DA Approved Industrial Lots|eliteplus|59|False|/for-sale/property-5-7-industrial-close-tamworth-nsw-2340-504217556|vacant|5 (Lot 12) – 9,997 sqm*@@@7 (Lot 11) – 7,995 sqm*@@@Zoned IN3 Heavy Industrial|Knight Frank - Newcastle|0.8 ha (1.98 acres)|Land/Development@@@Industrial/Warehouse||NSW|5 & 7 Industrial Close|2340|Tamworth|Tamworth, NSW 2340|Contact Agent|for-sale
504202716|PRIZED BEACH FRONT MIDDLE PARK ART DECO BLOCK|eliteplus|80|False|/for-sale/property-193-beaconsfield-parade-middle-park-vic-3206-504202716|tenanted|OFFERING WORLDCLASS BAY & CBD VIEWS@@@7 APARTMENTS WITH DUAL STREET ACCESS@@@OCCUPY, INVEST, VALUE-ADD, DEVELOP(STPA)|Emmetts - Melbourne|601 m²|Land/Development@@@Hotel/Leisure||VIC|193 Beaconsfield Parade|3206|Middle Park|Middle Park, VIC 3206|Contact Agent|for-sale
504151943|FOUND Storage Spaces|eliteplus|150|False|/for-sale/property-found-spaces-17-franklyn-street-huntingdale-vic-3166-504151943|vacant|Perfect for Trades and Businesses@@@Sizes ranging from 29m2 - 71m2@@@Potential rental return of 6%|Ray White Commercial - Oakleigh@@@Hudson Bond Commercial|29 - 71 m²|Industrial/Warehouse||VIC|FOUND SPACES, 17 Franklyn Street|3166|Huntingdale|Huntingdale, VIC 3166|Contact Agent|for-sale
504241488|*MORTGAGEE SALE* - 3.72HA* INFILL MIXED USE DEVELOPMENT SITE IN TARNEIT’S ACTIVITY CENTRE|eliteplus|3|False|/for-sale/property-585-derrimut-road-tarneit-vic-3029-504241488|vacant|3.72HA* Mixed Use Landholding@@@Adjacent To Tarneit Train Station@@@Suited to Major Development Projects|CBRE - Melbourne|3.72 ha (9.19 acres)|Land/Development@@@Other||VIC|585 Derrimut Road|3029|Tarneit|Tarneit, VIC 3029|Contact Agent|for-sale
504241484|A PRESTIGIOUS FLINDERS LANE WHOLE FLOOR OFFICE|eliteplus|3|False|/for-sale/property-level-2-313-flinders-lane-melbourne-vic-3000-504241484|vacant|High Quality Flinders Lane Whole Floor@@@Suited to Office/Education/Consulting@@@Offered with Vacant Possession|CBRE - Melbourne|280 m²|Offices@@@Medical/Consulting@@@Retail||VIC|Level 2, 313 Flinders Lane|3000|Melbourne|Melbourne, VIC 3000|Contact Agent|for-sale
504241480|NEW 10 YEAR LEASE TO GLOBAL FITNESS ENTERPRISE WITH PROVEN INTERNATIONAL SUCCESS|eliteplus|3|False|/for-sale/property-540-city-road-south-melbourne-vic-3205-504241480|tenanted|BRAND NEW 10 YEAR LEASE WITH OPTIONS@@@NET INCOME OF $145,000* PER ANNUM@@@SIGNIFICANT DEPRECIATION BENEFITS|CBRE - Melbourne|302 m²|Retail@@@Showrooms/Bulky Goods@@@Land/Development||VIC|540 City Road|3205|South Melbourne|South Melbourne, VIC 3205|Contact Agent|for-sale
504241476|PERMIT APPROVED BOUTIQUE PROJECT IN HIGH DEMAND RENTAL MARKET|eliteplus|3|False|/for-sale/property-721-725-high-street-preston-vic-3072-504241476|tenanted|Mixed Use Zone Corner Landholding@@@Permit for 31 Apartments + Retail@@@Retail Strip Site Close to Train Station|CBRE - Melbourne|721 m²|Land/Development@@@Retail||VIC|721-725 High Street|3072|Preston|Preston, VIC 3072|Contact Agent|for-sale
504241472|BLUE CHIP PRAHRAN RETAIL INVESTMENT|eliteplus|3|False|/for-sale/property-95-greville-street-prahran-vic-3181-504241472|tenanted|AAA Corner Location@@@5+5 Year Net Lease to 'Mizu'@@@Adjacent to Prahran Train Station|CBRE - Melbourne|65 m²|Retail||VIC|95 Greville Street|3181|Prahran|Prahran, VIC 3181|Contact Agent|for-sale
504241468|CORNER OFFICE FOR OWNER OCCUPATION & INVESTMENT|eliteplus|3|False|/for-sale/property-401-riversdale-road-corner-redfern-road-hawthorn-east-vic-3123-504241468|vacant|10 secure car spaces@@@Close to Camberwell Junction@@@Excellent business signage opportunities|CBRE - Melbourne|387 m²|Offices@@@Retail@@@Showrooms/Bulky Goods|10|VIC|401 Riversdale Road (Corner Redfern Road)|3123|Hawthorn East|Hawthorn East, VIC 3123|Contact Agent|for-sale
